stress_score,positive_affect,negative_affect,clarity_rating,prior_adherence,prior_delta,age_band,stress_state_bucket
20,44,21,2,0.84,-7.12,41-60,Moderate
6,16,35,5,0.42,5.61,41-60,Moderate
19,24,38,1,0.3,1.88,26-40,Moderate
27,36,13,2,0.94,0.14,41-60,Moderate
2,33,36,5,0.73,5.48,18-25,Low
23,13,12,2,0.88,0.78,18-25,Moderate
22,14,40,5,0.77,-10.0,41-60,Moderate
5,46,19,5,0.3,-5.39,18-25,Low
21,13,37,4,0.22,3.26,41-60,Moderate
40,14,22,2,0.3,-3.49,26-40,Moderate
24,36,23,1,0.37,8.04,18-25,Moderate
35,48,25,5,0.54,-7.01,41-60,Moderate
15,40,19,3,0.27,0.35,26-40,Moderate
16,20,41,2,0.48,-2.77,41-60,Moderate
24,30,46,1,0.51,0.18,26-40,Moderate
35,26,50,2,0.7,4.29,26-40,High
5,10,32,2,0.73,7.23,26-40,Moderate
16,43,50,5,0.14,-5.73,18-25,Moderate
19,12,26,1,0.73,1.24,41-60,Moderate
0,26,12,2,0.16,5.72,41-60,Moderate
3,27,28,3,0.84,-9.77,41-60,Moderate
32,23,43,5,0.1,1.18,26-40,Moderate
28,28,15,1,0.53,0.81,18-25,Moderate
0,14,36,5,0.96,4.29,41-60,Moderate
18,21,25,3,0.88,6.18,41-60,Moderate
30,13,32,2,0.87,3.45,18-25,High
36,17,16,3,0.85,9.64,41-60,Moderate
17,25,17,4,0.19,-9.6,26-40,Moderate
10,14,36,4,0.62,-3.32,18-25,Moderate
27,23,14,3,0.36,-8.32,41-60,Moderate
40,28,31,5,0.07,-5.89,41-60,Moderate
38,13,42,5,0.78,4.67,41-60,Moderate
22,23,32,3,0.79,2.02,26-40,Moderate
19,38,33,2,0.94,8.29,41-60,Moderate
7,35,38,2,0.18,9.41,18-25,Moderate
4,37,50,5,0.19,1.64,41-60,Low
26,21,16,3,0.61,0.34,18-25,Moderate
34,25,11,4,0.55,3.8,18-25,Moderate
25,48,36,5,0.93,-8.63,18-25,Moderate
40,29,28,4,0.09,1.07,26-40,Moderate
33,31,12,3,0.68,4.13,41-60,Moderate
5,50,45,3,0.6,7.32,18-25,Low
0,28,35,1,0.15,8.89,18-25,Moderate
21,30,31,4,0.7,3.6,41-60,Moderate
27,10,13,1,0.54,8.79,26-40,Moderate
9,45,18,5,0.62,4.79,18-25,Low
5,47,26,2,0.01,-1.33,41-60,Moderate
34,30,34,4,0.86,6.35,18-25,Moderate
8,36,35,3,0.59,2.27,26-40,Low
40,29,49,1,0.82,-9.0,41-60,High
32,14,43,3,0.46,4.65,26-40,Moderate
32,20,25,2,0.37,-3.34,41-60,Moderate
17,47,28,4,0.93,0.89,18-25,Moderate
2,19,47,1,0.25,9.75,41-60,Moderate
7,26,18,5,0.58,0.77,41-60,Moderate
27,42,46,1,0.04,5.75,41-60,High
1,47,49,4,0.54,-7.11,26-40,Low
14,37,27,2,0.5,5.7,26-40,Moderate
12,13,31,5,0.47,-9.43,41-60,Moderate
27,24,10,3,0.41,3.1,41-60,Moderate
0,47,47,5,0.16,-8.59,41-60,Low
9,37,30,2,0.88,6.28,18-25,Moderate
19,28,44,4,0.29,-3.8,41-60,Moderate
26,32,34,5,0.74,-8.47,26-40,Moderate
23,34,41,5,0.33,-2.91,26-40,Moderate
38,25,42,1,0.1,-2.15,41-60,High
34,48,31,1,0.86,3.54,18-25,High
16,21,32,3,0.41,-9.73,18-25,Moderate
8,38,46,5,0.72,-2.3,41-60,Low
22,26,49,5,0.72,4.65,18-25,Moderate
17,39,31,1,0.35,-1.72,18-25,Moderate
31,23,19,4,0.58,-7.63,41-60,Moderate
27,20,23,3,0.34,4.99,18-25,Moderate
23,17,18,1,0.43,0.82,18-25,Moderate
9,49,10,5,0.5,-1.76,18-25,Low
0,43,38,5,0.7,-0.09,41-60,Low
28,48,33,2,0.51,-7.71,18-25,High
25,12,16,2,0.51,-1.61,41-60,Moderate
16,34,12,5,0.63,3.77,26-40,Moderate
15,34,37,1,0.54,6.72,26-40,Moderate
21,25,50,3,0.13,-4.29,18-25,Moderate
6,23,38,3,0.82,-1.91,41-60,Moderate
14,12,20,5,0.41,2.96,18-25,Moderate
17,11,41,4,0.18,4.86,41-60,Moderate
14,37,27,2,0.51,9.78,18-25,Moderate
19,38,38,3,0.22,-2.99,41-60,Moderate
39,13,20,2,0.35,8.59,18-25,Moderate
29,11,18,4,0.63,-8.09,41-60,Moderate
14,34,45,1,0.58,5.64,18-25,Moderate
38,41,26,3,0.67,2.41,18-25,Moderate
28,16,37,1,0.35,-2.18,26-40,High
16,25,32,3,0.43,5.49,26-40,Moderate
36,31,21,2,0.41,4.26,41-60,Moderate
15,17,49,3,0.19,2.0,26-40,Moderate
1,39,39,4,0.72,4.92,18-25,Low
15,26,35,2,0.13,-1.12,26-40,Moderate
22,27,41,1,0.27,3.85,41-60,Moderate
2,47,12,5,0.32,-4.61,26-40,Low
27,30,22,3,0.6,-4.71,18-25,Moderate
38,24,24,4,0.46,9.67,18-25,Moderate
23,29,46,4,0.37,-1.35,18-25,Moderate
0,46,31,5,0.88,-5.13,41-60,Low
4,15,34,3,0.51,4.72,26-40,Moderate
6,49,22,2,0.84,-5.02,26-40,Moderate
37,36,29,4,0.33,4.96,26-40,Moderate
31,19,12,5,0.47,1.42,41-60,Moderate
15,22,44,4,0.89,6.98,26-40,Moderate
10,39,44,2,0.71,-3.82,18-25,Moderate
14,44,12,5,0.86,1.74,41-60,Moderate
24,13,38,3,0.44,4.15,18-25,Moderate
24,29,28,3,0.93,-3.16,26-40,Moderate
4,14,30,4,0.49,7.22,26-40,Moderate
19,47,34,3,0.95,6.66,41-60,Moderate
26,27,32,3,0.17,0.01,41-60,Moderate
40,34,50,2,0.55,4.96,41-60,High
6,13,10,4,0.04,1.59,41-60,Moderate
16,38,23,2,0.02,5.58,41-60,Moderate
14,21,49,4,0.96,0.72,41-60,Moderate
25,39,22,5,0.58,6.68,41-60,Moderate
1,45,35,3,0.59,-2.9,41-60,Low
21,29,17,5,0.42,-8.31,41-60,Moderate
19,25,16,5,0.98,3.67,26-40,Moderate
26,32,33,1,1.0,-9.4,18-25,Moderate
16,40,17,5,0.06,-3.29,26-40,Moderate
38,21,26,2,0.94,-8.3,26-40,Moderate
10,43,16,4,0.17,-0.5,18-25,Low
37,33,19,4,0.44,0.6,18-25,Moderate
36,49,17,4,0.28,5.97,18-25,Moderate
7,38,39,4,0.83,-2.69,18-25,Low
35,22,41,4,0.21,6.18,26-40,Moderate
30,27,47,2,0.83,4.13,26-40,High
31,14,47,2,0.51,-7.12,18-25,High
34,32,26,1,0.46,-3.87,18-25,Moderate
33,18,31,5,0.35,0.94,41-60,Moderate
11,49,26,2,0.31,0.76,26-40,Moderate
38,22,26,1,0.94,-9.68,18-25,Moderate
20,27,22,1,0.49,-0.34,41-60,Moderate
18,16,44,2,0.12,3.97,26-40,Moderate
24,41,49,5,0.89,6.36,26-40,Moderate
5,28,22,1,0.51,7.39,26-40,Moderate
3,48,17,1,0.74,-4.41,26-40,Moderate
37,37,39,3,0.22,-6.34,41-60,Moderate
33,25,31,5,0.58,1.18,26-40,Moderate
5,23,41,3,0.94,7.88,18-25,Moderate
11,40,38,5,0.18,3.46,18-25,Low
40,40,30,2,0.52,1.78,18-25,Moderate
3,22,29,4,0.75,-6.96,26-40,Moderate
32,10,24,5,0.09,-0.28,18-25,Moderate
26,32,17,3,0.24,8.17,18-25,Moderate
38,46,37,1,0.7,2.31,41-60,High
17,26,39,5,0.77,-2.04,26-40,Moderate
29,27,22,3,0.03,-5.91,18-25,Moderate
16,49,28,4,0.67,-0.63,26-40,Moderate
30,32,39,1,0.85,8.57,26-40,High
0,44,20,2,0.22,-3.28,41-60,Moderate
11,42,23,1,0.61,-4.38,41-60,Moderate
11,10,49,2,0.39,5.02,26-40,Moderate
30,26,42,2,0.68,1.32,18-25,High
22,15,31,2,0.32,4.99,18-25,Moderate
7,50,44,3,0.35,-9.4,26-40,Low
1,49,28,4,0.6,3.07,26-40,Low
37,37,11,5,0.88,4.78,26-40,Moderate
25,45,22,4,0.68,0.86,41-60,Moderate
35,28,44,3,0.85,-8.22,18-25,Moderate
39,42,21,2,0.93,-8.76,26-40,Moderate
8,25,21,5,0.45,0.03,18-25,Moderate
23,18,35,4,0.75,1.56,18-25,Moderate
2,33,14,3,0.76,-8.89,26-40,Low
14,44,21,1,0.66,-1.78,26-40,Moderate
33,32,40,2,0.9,8.18,41-60,High
22,10,34,2,0.18,-3.16,26-40,Moderate
24,29,31,5,0.73,0.63,26-40,Moderate
37,24,24,1,0.16,-7.67,41-60,Moderate
4,15,32,4,0.58,-7.88,26-40,Moderate
34,31,49,3,0.41,1.21,18-25,Moderate
7,20,14,2,0.58,-0.72,26-40,Moderate
37,38,14,1,0.9,5.67,41-60,Moderate
39,39,20,4,0.22,7.46,41-60,Moderate
12,17,37,2,0.79,-9.36,26-40,Moderate
20,43,40,4,0.03,0.47,41-60,Moderate
21,49,46,1,0.25,1.55,26-40,Moderate
20,24,26,3,0.35,-2.75,26-40,Moderate
16,26,35,5,0.08,-0.67,26-40,Moderate
13,15,44,5,0.58,5.24,26-40,Moderate
12,40,44,4,0.12,8.67,26-40,Low
22,34,43,2,0.94,-3.76,26-40,Moderate
5,15,27,4,0.56,4.3,41-60,Moderate
12,16,24,3,0.77,-9.12,18-25,Moderate
34,26,44,3,0.23,3.63,26-40,Moderate
39,33,26,3,0.96,-1.12,18-25,Moderate
35,22,15,2,0.54,-4.44,41-60,Moderate
14,13,49,3,0.03,8.14,41-60,Moderate
3,35,37,5,0.71,-8.09,26-40,Low
7,33,24,3,0.26,-3.74,41-60,Low
1,17,16,4,0.92,2.71,26-40,Moderate
15,44,39,2,0.31,-9.14,26-40,Moderate
28,48,43,3,0.89,3.16,18-25,Moderate
29,15,13,5,0.92,-4.98,26-40,Moderate
17,24,49,2,0.51,-3.83,26-40,Moderate
19,15,12,2,0.01,9.57,41-60,Moderate
3,13,26,1,0.21,7.14,41-60,Moderate
5,44,31,1,0.4,5.67,41-60,Moderate
10,22,12,1,0.6,3.19,26-40,Moderate
32,27,50,1,0.18,2.46,18-25,High
4,32,39,1,0.16,-6.58,41-60,Moderate
24,19,23,2,0.08,-2.14,26-40,Moderate
40,34,23,3,0.6,-6.74,18-25,Moderate
34,20,20,5,0.83,9.49,41-60,Moderate
16,11,21,1,0.42,-8.99,26-40,Moderate
10,25,27,3,0.03,1.67,41-60,Moderate
5,21,22,4,0.97,0.88,18-25,Moderate
26,36,24,4,0.43,6.65,18-25,Moderate
16,26,45,5,0.09,-8.2,26-40,Moderate
35,37,38,4,0.29,-4.41,26-40,Moderate
13,19,16,5,0.87,5.18,41-60,Moderate
28,12,24,4,0.69,1.06,41-60,Moderate
12,30,46,3,0.91,0.95,18-25,Moderate
24,15,45,2,0.41,3.59,18-25,Moderate
4,45,39,5,0.34,6.06,18-25,Low
28,45,31,4,0.9,-4.05,41-60,Moderate
38,28,47,4,0.67,6.52,26-40,Moderate
8,41,13,2,0.4,-6.87,41-60,Moderate
10,46,31,2,0.03,9.8,18-25,Moderate
12,18,40,4,0.98,5.88,18-25,Moderate
34,30,40,3,0.99,5.36,18-25,Moderate
9,11,11,4,0.67,0.01,41-60,Moderate
15,48,40,3,0.28,-7.42,26-40,Moderate
20,13,16,2,0.52,-4.93,18-25,Moderate
16,42,20,4,0.2,3.04,41-60,Moderate
6,11,33,4,0.1,-7.48,18-25,Moderate
39,20,12,4,0.15,7.79,18-25,Moderate
1,25,11,4,0.0,-2.44,18-25,Moderate
27,34,41,5,0.46,8.86,26-40,Moderate
32,22,50,2,0.25,3.01,18-25,High
21,29,36,1,1.0,-6.33,41-60,Moderate
24,11,21,1,0.47,-9.73,26-40,Moderate
31,43,29,4,0.78,3.46,41-60,Moderate
35,33,36,2,0.66,9.31,41-60,High
28,24,21,5,0.58,1.28,18-25,Moderate
23,30,19,5,0.6,-3.18,18-25,Moderate
11,31,15,4,0.99,4.54,41-60,Low
15,45,34,1,0.84,2.29,18-25,Moderate
37,12,32,5,0.27,-5.64,18-25,Moderate
3,30,49,3,0.59,-9.68,41-60,Moderate
5,21,25,1,0.67,1.13,26-40,Moderate
6,41,24,4,0.92,-0.79,41-60,Low
33,14,36,4,0.64,-4.23,26-40,Moderate
13,24,42,5,0.71,-2.87,18-25,Moderate
18,32,41,5,0.96,1.31,18-25,Moderate
8,38,15,1,0.38,3.33,18-25,Moderate
4,36,34,1,0.31,-8.07,26-40,Moderate
10,48,33,3,0.53,7.47,18-25,Low
34,29,12,1,0.32,-0.47,18-25,Moderate
0,26,11,5,0.86,1.85,41-60,Moderate
32,12,44,5,0.58,3.87,26-40,Moderate
19,18,48,4,0.43,9.89,41-60,Moderate
26,22,22,4,0.77,-3.85,41-60,Moderate
21,28,17,4,0.55,0.47,41-60,Moderate
25,32,22,4,0.77,3.04,18-25,Moderate
38,21,24,3,0.64,6.4,26-40,Moderate
37,43,28,4,0.31,2.27,18-25,Moderate
0,44,49,3,0.14,7.87,18-25,Low
6,20,48,5,1.0,4.01,26-40,Moderate
37,21,46,5,0.32,-8.86,18-25,Moderate
24,13,20,1,0.68,-3.86,18-25,Moderate
27,50,32,5,0.12,1.69,41-60,Moderate
25,34,38,3,0.08,-6.68,26-40,Moderate
34,39,37,1,0.11,-7.72,41-60,High
28,24,34,3,0.0,2.28,41-60,Moderate
37,32,34,2,0.73,-7.29,26-40,High
40,19,19,1,0.6,1.63,18-25,Moderate
37,36,42,1,0.16,3.51,26-40,High
3,26,13,3,0.7,-5.7,41-60,Moderate
6,39,18,5,0.58,-3.09,26-40,Low
18,45,36,1,0.4,-4.07,18-25,Moderate
15,44,40,4,0.61,0.47,26-40,Moderate
25,48,50,4,0.2,-3.7,41-60,Moderate
1,21,39,4,0.78,-4.46,18-25,Moderate
6,10,35,2,0.18,4.44,26-40,Moderate
7,33,31,3,0.52,1.61,41-60,Low
36,39,42,2,0.81,9.01,26-40,High
26,48,18,5,0.01,-5.47,41-60,Moderate
14,11,48,5,0.12,-7.46,18-25,Moderate
6,27,47,5,0.91,6.71,18-25,Moderate
30,20,13,3,0.59,-2.94,18-25,Moderate
28,33,31,2,0.83,2.63,26-40,High
24,30,25,4,0.42,-9.71,41-60,Moderate
8,31,41,5,0.6,5.27,26-40,Low
31,19,48,2,0.08,-1.16,18-25,High
2,28,19,4,0.24,1.96,26-40,Moderate
11,47,22,5,0.48,-2.34,41-60,Low
19,13,30,3,0.07,1.48,18-25,Moderate
12,12,18,4,0.26,-7.73,18-25,Moderate
6,24,16,2,0.19,0.83,41-60,Moderate
36,10,19,3,0.59,-0.91,26-40,Moderate
24,21,34,1,0.8,5.14,26-40,Moderate
13,50,45,1,0.06,3.81,18-25,Moderate
4,34,27,5,0.09,-4.28,41-60,Low
27,36,41,1,0.42,-9.52,26-40,High
32,13,43,3,0.97,1.0,41-60,Moderate
23,48,39,5,0.24,-8.06,18-25,Moderate
17,27,11,2,0.55,-0.5,26-40,Moderate
11,22,20,3,0.99,-5.19,41-60,Moderate
13,33,50,1,0.41,9.56,26-40,Moderate
22,28,27,4,0.73,-1.6,41-60,Moderate
32,28,37,3,0.07,-6.38,41-60,Moderate
36,35,44,2,0.65,-0.81,41-60,High
37,22,32,4,1.0,-7.3,18-25,Moderate
34,17,31,5,0.43,-7.45,18-25,Moderate
40,10,15,3,0.67,-0.32,18-25,Moderate
22,41,39,5,0.59,1.51,18-25,Moderate
32,30,48,3,0.57,-5.8,41-60,Moderate
39,16,29,3,0.26,3.9,41-60,Moderate
30,30,35,5,0.49,-7.34,41-60,Moderate
36,37,26,4,0.51,-4.24,26-40,Moderate
40,15,20,1,0.24,-8.17,41-60,Moderate
10,23,11,3,0.17,-0.57,26-40,Moderate
23,28,27,1,0.36,-7.49,26-40,Moderate
34,10,45,1,0.02,7.23,26-40,High
33,34,25,2,0.63,6.17,26-40,Moderate
24,25,18,1,0.33,-6.71,26-40,Moderate
15,49,27,2,0.44,1.88,26-40,Moderate
20,15,41,1,0.08,-8.24,18-25,Moderate
9,39,27,4,0.01,-2.79,26-40,Low
30,24,13,1,0.31,-4.13,26-40,Moderate
16,25,24,3,0.56,4.14,26-40,Moderate
4,29,24,2,0.89,6.32,41-60,Moderate
3,19,40,1,0.88,-9.02,41-60,Moderate
8,39,20,3,0.9,-9.51,26-40,Low
35,22,21,5,0.24,5.16,26-40,Moderate
6,11,32,5,0.93,-3.93,26-40,Moderate
4,40,34,2,0.33,-8.91,18-25,Moderate
1,34,22,2,0.58,-5.86,18-25,Moderate
5,12,44,2,0.21,-3.73,41-60,Moderate
4,28,31,3,0.01,0.47,18-25,Moderate
15,33,50,4,0.8,-3.53,41-60,Moderate
34,23,28,4,0.38,-3.22,18-25,Moderate
24,25,49,3,0.25,-3.66,26-40,Moderate
18,26,22,3,0.79,-4.53,26-40,Moderate
5,33,27,5,0.33,-8.92,26-40,Low
23,20,35,3,0.31,-8.73,41-60,Moderate
10,47,23,3,0.95,-3.42,18-25,Low
38,39,17,3,0.95,-3.74,41-60,Moderate
6,18,10,5,0.74,3.55,26-40,Moderate
3,44,12,5,0.05,4.35,26-40,Low
26,25,47,4,0.19,6.41,26-40,Moderate
32,45,46,1,0.31,-0.46,26-40,High
4,41,12,4,0.93,-1.96,18-25,Low
13,40,40,1,0.3,-7.22,41-60,Moderate
17,23,24,3,0.68,2.63,41-60,Moderate
7,24,12,5,0.3,5.51,41-60,Moderate
31,41,39,4,0.54,9.52,26-40,Moderate
14,23,38,2,0.17,-0.75,41-60,Moderate
30,34,47,3,0.25,-8.53,18-25,Moderate
13,34,39,5,0.47,-1.79,18-25,Low
21,44,46,2,0.65,-1.62,26-40,Moderate
16,25,11,4,0.51,-3.58,41-60,Moderate
5,26,48,1,0.44,8.41,18-25,Moderate
15,50,46,1,0.42,-5.61,18-25,Moderate
8,45,31,2,0.17,-7.59,26-40,Moderate
32,27,16,1,0.23,4.11,18-25,Moderate
3,13,27,3,0.37,2.43,26-40,Moderate
27,50,45,4,0.99,-5.35,41-60,Moderate
22,33,22,2,0.45,4.78,18-25,Moderate
38,26,24,2,0.87,-9.8,18-25,Moderate
33,13,12,2,0.99,5.09,26-40,Moderate
21,10,13,1,0.86,-8.05,18-25,Moderate
20,35,23,1,0.01,-1.93,41-60,Moderate
5,29,33,3,0.0,-3.84,18-25,Moderate
23,16,28,1,0.29,-1.65,41-60,Moderate
29,38,31,3,0.91,-0.14,18-25,Moderate
40,43,10,2,0.3,-4.04,18-25,Moderate
13,32,34,3,0.63,-7.52,26-40,Low
33,44,10,4,0.86,-7.63,26-40,Moderate
0,10,36,5,0.86,-6.62,41-60,Moderate
39,35,25,4,0.77,8.7,26-40,Moderate
16,32,16,4,0.61,0.07,41-60,Moderate
33,13,23,3,0.7,-6.11,26-40,Moderate
16,46,21,1,0.65,-6.88,26-40,Moderate
5,28,27,5,0.19,9.02,26-40,Moderate
12,16,24,4,0.97,4.69,41-60,Moderate
35,36,14,5,0.5,6.58,18-25,Moderate
15,32,47,5,0.34,2.55,41-60,Moderate
22,38,43,1,0.94,8.35,41-60,Moderate
2,41,40,2,0.92,6.41,18-25,Moderate
13,41,15,2,0.15,1.93,41-60,Moderate
35,30,26,1,0.2,-5.25,18-25,Moderate
11,25,50,3,0.71,-6.14,41-60,Moderate
1,45,16,5,0.34,3.68,41-60,Low
21,35,42,3,0.06,2.2,18-25,Moderate
37,50,33,1,0.09,8.22,18-25,High
1,41,33,1,0.34,-7.77,18-25,Moderate
29,49,20,5,0.55,7.69,26-40,Moderate
23,19,26,2,0.73,-3.97,26-40,Moderate
17,26,18,1,0.11,-9.92,41-60,Moderate
19,18,22,3,0.47,-5.46,26-40,Moderate
18,35,35,1,0.69,-4.76,18-25,Moderate
17,41,12,2,0.92,1.07,41-60,Moderate
32,21,12,3,0.8,6.66,18-25,Moderate
7,45,16,4,0.81,6.9,26-40,Low
0,34,19,2,0.58,-0.72,26-40,Moderate
5,25,29,1,0.22,-7.74,26-40,Moderate
13,16,42,2,0.03,-2.39,26-40,Moderate
2,13,35,3,0.61,6.11,18-25,Moderate
11,35,42,5,0.62,3.61,41-60,Low
25,30,37,4,0.05,-9.56,41-60,Moderate
22,24,22,1,0.84,1.01,26-40,Moderate
19,29,12,4,0.7,7.11,26-40,Moderate
13,25,28,2,0.94,0.31,18-25,Moderate
12,45,31,2,0.33,6.31,26-40,Moderate
29,49,16,3,0.34,7.39,18-25,Moderate
36,16,14,3,0.27,6.55,18-25,Moderate
4,32,46,1,0.64,-6.07,18-25,Moderate
16,35,30,5,0.84,4.09,26-40,Moderate
23,44,23,2,0.93,0.55,26-40,Moderate
33,50,19,2,0.1,5.84,26-40,Moderate
30,10,21,4,0.17,4.15,41-60,Moderate
20,31,13,2,0.73,8.45,41-60,Moderate
16,19,43,5,0.67,2.47,41-60,Moderate
11,18,11,2,0.33,0.39,26-40,Moderate
9,30,29,4,0.08,-1.28,26-40,Moderate
13,30,31,5,0.14,-8.61,26-40,Moderate
19,33,32,1,0.33,4.74,26-40,Moderate
21,19,15,1,0.62,-8.74,26-40,Moderate
9,17,30,5,0.28,-0.85,26-40,Moderate
32,27,37,1,0.46,6.91,26-40,High
26,19,41,2,0.58,-7.62,41-60,Moderate
33,49,32,5,0.72,0.95,41-60,Moderate
32,30,11,2,0.1,-2.13,41-60,Moderate
19,44,27,5,0.88,-5.37,26-40,Moderate
22,20,11,2,0.56,0.33,26-40,Moderate
12,49,34,4,0.85,3.7,18-25,Low
29,28,32,3,0.28,-3.64,26-40,Moderate
23,43,17,2,0.91,2.21,41-60,Moderate
29,22,28,5,0.22,0.31,18-25,Moderate
11,11,20,4,0.96,-2.46,41-60,Moderate
21,21,11,5,0.39,7.02,18-25,Moderate
11,25,32,4,0.8,-6.79,26-40,Moderate
12,14,20,2,0.72,-4.57,26-40,Moderate
14,16,49,4,0.68,-3.98,26-40,Moderate
35,30,15,1,0.21,3.92,41-60,Moderate
36,32,38,5,0.47,-7.04,41-60,Moderate
26,48,49,5,0.13,-5.93,18-25,Moderate
3,49,25,5,0.32,-9.82,18-25,Low
25,46,42,4,0.51,-1.94,41-60,Moderate
27,44,14,2,0.94,5.03,26-40,Moderate
13,20,47,4,0.63,-5.7,18-25,Moderate
40,17,46,3,0.2,5.96,41-60,Moderate
37,24,14,5,0.39,-4.34,26-40,Moderate
11,13,40,2,0.05,-3.22,18-25,Moderate
22,21,43,4,0.63,2.81,41-60,Moderate
17,44,43,1,0.59,-0.22,41-60,Moderate
14,37,25,4,0.23,-4.22,18-25,Moderate
0,48,41,2,0.12,9.08,41-60,Moderate
23,44,48,2,0.6,3.29,26-40,Moderate
21,13,18,4,0.5,-9.85,41-60,Moderate
23,49,40,3,0.51,7.14,18-25,Moderate
25,25,22,3,0.46,-0.5,18-25,Moderate
29,45,12,1,0.08,7.26,18-25,Moderate
11,30,13,4,0.2,6.53,18-25,Moderate
19,24,32,4,0.31,-1.97,41-60,Moderate
16,46,22,3,0.3,-6.15,26-40,Moderate
35,45,29,4,0.97,-5.97,26-40,Moderate
3,43,11,5,0.01,-0.87,18-25,Low
40,22,48,5,0.45,-4.91,18-25,Moderate
26,30,17,1,0.72,-4.36,41-60,Moderate
20,39,30,1,0.02,5.49,26-40,Moderate
30,49,47,3,0.03,5.67,41-60,Moderate
32,22,23,1,0.57,5.84,26-40,Moderate
35,19,40,1,0.89,-3.28,26-40,High
20,37,25,4,0.45,-4.43,41-60,Moderate
27,14,30,2,0.32,9.04,18-25,Moderate
18,42,10,5,0.05,1.57,41-60,Moderate
40,49,12,1,0.44,0.21,26-40,Moderate
19,43,30,3,0.26,-3.06,18-25,Moderate
8,26,11,3,0.95,-8.17,26-40,Moderate
19,18,26,3,0.26,-1.0,18-25,Moderate
35,28,26,5,1.0,-4.25,26-40,Moderate
6,26,48,4,0.1,-8.89,41-60,Moderate
24,14,39,4,0.85,-8.82,41-60,Moderate
3,33,23,5,0.52,9.81,41-60,Low
11,27,26,3,0.17,-2.31,26-40,Moderate
14,41,18,4,0.48,5.88,26-40,Moderate
21,36,28,5,0.81,-5.23,26-40,Moderate
0,19,41,4,0.51,6.9,41-60,Moderate
31,36,37,2,0.65,7.45,26-40,High
17,17,40,2,0.37,-8.15,26-40,Moderate
37,18,18,3,0.96,-5.05,41-60,Moderate
27,39,13,4,0.32,7.78,26-40,Moderate
1,23,31,4,0.23,-7.87,41-60,Moderate
14,33,34,1,0.75,-9.04,41-60,Moderate
4,47,21,2,0.78,0.45,18-25,Moderate
16,13,16,1,0.72,2.15,26-40,Moderate
38,43,15,2,0.6,4.79,41-60,Moderate
33,24,23,2,0.42,-3.81,26-40,Moderate
2,31,31,2,0.12,-8.62,26-40,Moderate
28,26,16,5,0.54,-7.49,18-25,Moderate
38,33,26,4,0.21,-1.78,18-25,Moderate
9,18,36,5,0.37,-2.18,26-40,Moderate
3,33,44,3,0.44,-3.93,26-40,Low
34,40,34,5,0.86,6.9,26-40,Moderate
26,15,26,4,0.31,-8.78,18-25,Moderate
40,11,22,4,0.23,-6.48,41-60,Moderate
25,31,12,3,0.82,9.68,18-25,Moderate
4,29,48,5,0.23,3.25,26-40,Moderate
11,22,19,1,0.4,-1.38,18-25,Moderate
34,12,14,2,0.58,7.78,41-60,Moderate
9,43,12,3,0.45,-4.07,26-40,Low
5,50,41,4,0.32,-4.84,41-60,Low
24,21,16,1,0.46,-6.73,26-40,Moderate
22,36,15,2,0.9,2.57,41-60,Moderate
14,38,17,5,0.76,-4.69,18-25,Moderate
4,48,27,5,0.87,-0.02,41-60,Low
9,24,27,1,0.1,1.7,41-60,Moderate
33,37,11,5,0.47,-7.87,41-60,Moderate
27,48,29,5,0.08,-7.75,26-40,Moderate
26,35,16,2,0.9,-7.33,26-40,Moderate
4,32,37,2,0.97,-0.92,41-60,Moderate
30,28,18,5,0.86,-6.59,41-60,Moderate
38,13,12,5,0.93,-9.51,18-25,Moderate
10,36,42,5,0.41,-3.04,41-60,Low
1,36,45,3,0.68,7.59,26-40,Low
34,44,40,4,0.98,8.24,26-40,Moderate
37,29,12,3,0.1,-8.72,18-25,Moderate
9,14,18,2,0.46,5.69,26-40,Moderate
30,19,21,4,0.53,-8.68,18-25,Moderate
5,12,19,5,0.36,3.65,18-25,Moderate
25,47,35,5,0.13,3.11,41-60,Moderate
0,25,46,3,0.87,7.82,26-40,Moderate
15,30,11,3,0.82,-5.11,41-60,Moderate
37,34,20,1,0.55,-6.15,41-60,Moderate
20,17,30,4,0.51,2.12,18-25,Moderate
28,18,24,2,0.75,4.55,18-25,Moderate
35,29,46,1,0.84,-9.65,41-60,High
27,47,40,5,0.33,-3.01,41-60,Moderate
26,33,22,2,0.44,-4.79,18-25,Moderate
27,37,17,5,0.68,-5.88,18-25,Moderate
35,50,36,2,0.13,3.52,18-25,High
26,10,32,2,0.51,-3.13,26-40,Moderate
2,15,15,5,0.78,4.07,18-25,Moderate
22,11,21,5,0.5,9.01,18-25,Moderate
19,10,10,1,0.43,-9.34,26-40,Moderate
29,50,12,3,0.22,2.42,18-25,Moderate
25,22,10,2,0.76,0.01,26-40,Moderate
15,49,25,3,0.65,-5.34,41-60,Moderate
15,24,43,3,0.83,-0.13,18-25,Moderate
3,14,44,5,0.98,-4.16,41-60,Moderate
38,50,32,3,0.46,-4.82,26-40,Moderate
25,42,46,2,0.91,-6.63,18-25,Moderate
3,29,45,4,0.52,-0.62,26-40,Moderate
34,39,45,1,0.57,0.3,26-40,High
18,10,14,3,0.13,2.87,18-25,Moderate
36,45,45,4,0.92,6.43,26-40,Moderate
15,50,27,2,0.68,3.65,18-25,Moderate
38,48,38,2,0.46,7.82,26-40,High
